"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"INT","World Fuel Services Corporation","Basic Materials","Oil & Gas Refining & Marketing","USA",2586.01,20.41,36.98,0.46%,693000
2,"PEIX","Pacific Ethanol, Inc.","Basic Materials","Oil & Gas Refining & Marketing","USA",294.78,6800.00,6.80,2.26%,1999400
3,"UNT","Unit Corporation","Basic Materials","Oil & Gas Drilling & Exploration","USA",1147.15,,22.21,-0.98%,1304300
4,"BRS","Bristow Group Inc.","Basic Materials","Oil & Gas Equipment & Services","USA",488.45,,13.92,0.51%,984100
5,"PDCE","PDC Energy, Inc.","Basic Materials","Independent Oil & Gas","USA",4251.38,,64.65,0.33%,1089400
6,"XEC","Cimarex Energy Co.","Basic Materials","Independent Oil & Gas","USA",11501.91,,120.92,-0.11%,1010400
7,"MPLX","MPLX LP","Basic Materials","Oil & Gas Pipelines","USA",13191.04,,35.75,-2.05%,2158800
8,"CRZO","Carrizo Oil & Gas, Inc.","Basic Materials","Independent Oil & Gas","USA",1851.93,,28.43,-0.32%,1658900
9,"CRC","California Resources Corporation","Basic Materials","Independent Oil & Gas","USA",626.76,2.28,14.73,-3.28%,2405200
10,"SLCA","U.S. Silica Holdings, Inc.","Basic Materials","Industrial Metals & Minerals","USA",3770.91,,46.52,-1.44%,2943600
11,"PBF","PBF Energy Inc.","Basic Materials","Oil & Gas Refining & Marketing","USA",2393.23,12.64,21.90,-2.01%,2093200
12,"NFX","Newfield Exploration Company","Basic Materials","Independent Oil & Gas","USA",6860.14,,34.48,-1.15%,4184000
13,"MDR","McDermott International, Inc.","Basic Materials","Oil & Gas Equipment & Services","USA",1590.69,55.85,6.59,0.76%,4263400
14,"AR","Antero Resources Corporation","Basic Materials","Oil & Gas Drilling & Exploration","USA",7396.43,,23.48,-0.63%,2721600
15,"QEP","QEP Resources, Inc.","Basic Materials","Oil & Gas Pipelines","USA",3152.74,,13.16,-1.79%,5484500
16,"APA","Apache Corporation","Basic Materials","Independent Oil & Gas","USA",19447.72,,51.22,0.27%,5196800
17,"CNX","CONSOL Energy Inc.","Basic Materials","Independent Oil & Gas","USA",3464.54,,15.10,-0.72%,5053000
18,"GPOR","Gulfport Energy Corporation","Basic Materials","Independent Oil & Gas","USA",2634.99,,16.59,-1.31%,4792000
19,"HES","Hess Corporation","Basic Materials","Independent Oil & Gas","USA",15275.25,,48.26,-0.68%,3188300
20,"NBL","Noble Energy, Inc.","Basic Materials","Independent Oil & Gas","USA",14577.75,,33.86,-0.15%,6125200
21,"DVN","Devon Energy Corporation","Basic Materials","Independent Oil & Gas","USA",21267.28,,40.54,-0.44%,5153300
22,"FMSA","Fairmount Santrol Holdings Inc.","Basic Materials","Industrial Metals & Minerals","USA",1638.73,,7.32,1.39%,7901500
23,"RRC","Range Resources Corporation","Basic Materials","Independent Oil & Gas","USA",6809.28,,27.51,-0.65%,4802500
24,"CPE","Callon Petroleum Company","Basic Materials","Independent Oil & Gas","USA",2384.45,,11.86,0.51%,5726800
25,"NBR","Nabors Industries Ltd.","Basic Materials","Oil & Gas Drilling & Exploration","Bermuda",3849.24,,13.49,-0.37%,5798300
26,"OAS","Oasis Petroleum Inc.","Basic Materials","Independent Oil & Gas","USA",3039.74,,12.80,-1.46%,9896500
27,"HAL","Halliburton Company","Basic Materials","Oil & Gas Equipment & Services","USA",44022.70,,50.78,-0.27%,8007700
28,"ESV","Ensco plc","Basic Materials","Oil & Gas Drilling & Exploration","United Kingdom",2584.16,2.70,8.53,-0.70%,10097000
29,"WLL","Whiting Petroleum Corporation","Basic Materials","Oil & Gas Drilling & Exploration","USA",3322.33,,9.16,-1.29%,13830900
30,"PBI","Pitney Bowes Inc.","Consumer Goods","Business Equipment","USA",2393.38,25.89,12.84,-4.46%,14272400
31,"LKQ","LKQ Corporation","Consumer Goods","Auto Parts","USA",9342.15,20.59,30.31,-0.33%,3093800
32,"TVPT","Travelport Worldwide Limited","Consumer Goods","Recreational Goods, Other","United Kingdom",1503.85,89.78,12.12,0.00%,1303000
33,"BUFF","Blue Buffalo Pet Products, Inc.","Consumer Goods","Food - Major Diversified","USA",4689.68,36.32,23.86,-1.24%,1971400
34,"LTRPA","Liberty TripAdvisor Holdings, Inc.","Consumer Goods","Recreational Goods, Other","USA",1043.75,52.06,13.90,0.00%,1087000
35,"ICON","Iconix Brand Group, Inc.","Consumer Goods","Textile - Apparel Footwear & Accessories","USA",411.18,,7.22,-1.77%,1417200
36,"BETR","Amplify Snack Brands, Inc.","Consumer Goods","Food - Major Diversified","USA",642.40,24.47,8.37,2.20%,550600
37,"PEI","Pennsylvania Real Estate Investment Trust","Financial","REIT - Retail","USA",1035.25,,14.90,-1.13%,1019000
38,"PHH","PHH Corporation","Financial","Credit Services","USA",673.22,,12.56,-0.71%,550000
39,"CDR","Cedar Realty Trust, Inc.","Financial","REIT - Retail","USA",451.02,,5.28,0.19%,1468500
40,"MBI","MBIA Inc.","Financial","Property & Casualty Insurance","USA",1197.50,,8.91,-4.60%,3052000
41,"SPG","Simon Property Group, Inc.","Financial","REIT - Retail","USA",53737.84,28.62,168.02,-0.81%,2805800
42,"ALLY","Ally Financial Inc.","Financial","Mortgage Investment","USA",9835.60,9.44,21.15,-2.04%,13787291
43,"SYF","Synchrony Financial","Financial","Credit Services","USA",28474.94,12.97,35.12,-1.98%,10548000
44,"GGP","GGP Inc.","Financial","REIT - Retail","USA",20637.03,17.48,23.32,-0.64%,6414516
45,"ENDP","Endo International plc","Healthcare","Drug Manufacturers - Other","Ireland",2399.05,,10.76,0.94%,12276400
46,"HZNP","Horizon Pharma Public Limited Company","Healthcare","Drugs - Generic","Ireland",2456.05,,15.13,-1.50%,2290300
47,"ALXN","Alexion Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",27420.39,69.36,122.08,-0.27%,2441100
48,"PRGO","Perrigo Company plc","Healthcare","Drug Related Products","Ireland",9964.22,,69.50,-1.93%,2873400
49,"MNK","Mallinckrodt Public Limited Company","Healthcare","Drugs - Generic","United Kingdom",4910.43,27.30,46.90,-2.19%,1969900
50,"ESRX","Express Scripts Holding Company","Healthcare","Health Care Plans","USA",39426.31,11.98,65.09,0.40%,7043500
51,"IPXL","Impax Laboratories, Inc.","Healthcare","Drug Manufacturers - Major","USA",693.16,,9.40,-1.57%,2875473
52,"PTCT","PTC Therapeutics, Inc.","Healthcare","Biotechnology","USA",313.11,,9.06,2.49%,3697200
53,"XON","Intrexon Corporation","Healthcare","Biotechnology","USA",2492.14,,20.99,-1.82%,2238900
54,"PETX","Aratana Therapeutics, Inc.","Healthcare","Biotechnology","USA",195.82,,5.24,-2.60%,788400
55,"MNTA","Momenta Pharmaceuticals, Inc.","Healthcare","Drugs - Generic","USA",987.94,,13.75,-0.72%,1784700
56,"MWA","Mueller Water Products, Inc.","Industrial Goods","Industrial Equipment & Components","USA",1960.10,31.30,12.08,-0.17%,2409200
57,"CSTM","Constellium N.V","Industrial Goods","Metal Fabrication","Netherlands",643.43,,6.10,0.83%,1933900
58,"GCI","Gannett Co., Inc.","Services","Publishing - Newspapers","USA",920.00,18.33,8.10,-0.25%,1724800
59,"SCOR","comScore, Inc.","Services","Business Services","USA",1249.29,,21.85,-0.64%,191909
60,"RRD","R.R. Donnelley & Sons Company","Services","Business Services","USA",953.86,,13.65,0.66%,4218600
61,"GES","Guess', Inc.","Services","Apparel Stores","USA",953.27,14.87,11.30,4.15%,8254300
62,"KBR","KBR, Inc.","Services","Technical Services","USA",2026.04,,14.18,-1.46%,1850400
63,"ETSY","Etsy, Inc.","Services","Specialty Retail, Other","USA",1204.27,,10.37,-0.10%,1970100
64,"YRCW","YRC Worldwide Inc.","Services","Trucking","USA",387.01,18.17,11.65,-1.52%,802438
65,"UAL","United Continental Holdings, Inc.","Services","Major Airlines","USA",21013.47,8.92,66.79,-1.14%,5826600
66,"P","Pandora Media, Inc.","Services","Broadcasting - Radio","USA",2626.39,,11.48,-1.03%,7317500
67,"DAL","Delta Air Lines, Inc.","Services","Major Airlines","USA",34831.80,8.05,46.51,-1.90%,12231400
68,"JCP","J. C. Penney Company, Inc.","Services","Department Stores","USA",1846.72,,5.99,-2.76%,14362500
69,"AAL","American Airlines Group Inc.","Services","Major Airlines","USA",21033.14,8.74,41.72,-0.97%,10180700
70,"FNSR","Finisar Corporation","Technology","Networking & Communication Devices","USA",3047.63,23.38,27.36,1.98%,4719300
71,"GRUB","GrubHub Inc.","Technology","Internet Information Providers","USA",2948.95,59.70,34.33,-0.52%,1468800
